title,course1
软件测试工具,系统分析与设计
分布式版本控制系统,版本控制系统
项目托管网站,版本控制系统
时间旅行,航天工程与空间探测
目的论,逻辑与人工智能基础
静态代码分析工具,系统分析与设计
动态规划,算法
估计理论,信息论与编码理论
字符串相似性度量,计算机视觉
算法信息论,信息论与编码理论
Wiki软件,软件工程
协作软件,信息系统
自动驾驶汽车,人工智能伦理与社会影响
因果律,逻辑与人工智能基础
算法,算法
内容管理系统,软件工程
导弹制导,无人载具
无人机,航天工程与空间探测
Prolog,人工智能基础
小组过程,组织行为学
静态程序分析,系统分析与设计
数学模型,系统分析与设计
3D打印,工业设计
智能设备,机器人学
机器人题材作品,科幻
遗传算法,进化算法
数据挖掘和机器学习软件,数据挖掘
聚类分析,数据挖掘
专家系统,知识表示与推理
受控词表,知识表示与推理
整体论,系统思维
土地规划,系统思维
战略,系统思维
半导体分析,电子工程
悬疑,推理
推理,推理
程序分析,系统分析与设计
资料分析,信息系统
代理人为基础之软件,多机器人系统
聊天机器人,人工智能应用
语音合成,语音技术
语音技术,语音技术
多机器人系统,多机器人系统
智慧家庭,机器人学
赛博格,生物医学工程
进化算法,进化算法
马尔可夫模型,机器学习与人工智能
分类系统,数据挖掘
部分论,形式科学与数理逻辑
摄影测量学,计算机视觉
数学形态学,计算机视觉
语言模型,机器学习与人工智能
合一,形式科学与数理逻辑
启发法,问题解决
想象,人工智能应用
人工智能题材作品,科幻
搜寻算法,机器学习与人工智能
模糊逻辑,逻辑与人工智能基础
游戏人工智能,电子游戏设计与开发
生物特征识别,安全
群集智能,机器学习与人工智能
虚拟助理,自然语言处理
语音识别,语音技术
问题解决,问题解决
限制满足,约束编程
